t,n
00:02:44,0
00:07:43,0
00:12:42,0
00:17:41,0
00:22:39,0
00:27:38,0
00:32:37,1
00:37:36,0
00:42:35,0
00:47:33,0
00:52:32,0
00:57:31,0
01:02:30,0
01:07:29,0
01:12:27,0
01:17:26,0
01:22:25,0
01:27:24,0
01:32:23,0
01:37:21,1
01:42:20,1
01:47:19,0
01:52:18,0
01:57:17,0
02:02:15,2
02:07:14,0
02:12:13,0
02:17:12,0
02:22:11,0
02:27:09,0
02:32:08,0
02:37:07,0
02:42:06,0
02:47:05,0
02:52:03,0
02:57:02,0
03:02:01,0
03:07:00,0
03:11:59,0
03:16:57,0
03:21:56,0
03:26:55,0
03:31:54,0
03:36:53,0
03:41:51,0
03:46:50,0
03:51:49,0
03:56:48,0
04:01:46,0
04:06:45,0
04:11:44,0
04:16:43,0
04:21:42,0
04:26:40,0
04:31:39,0
04:36:38,2
04:41:37,0
04:46:36,0
04:51:34,0
04:56:33,0
05:01:32,0
05:06:31,0
05:11:30,0
05:16:28,3
05:21:27,1
05:26:26,1
05:31:25,0
05:36:24,0
05:41:22,1
05:46:21,0
05:51:20,0
05:56:19,0
06:01:17,0
06:06:16,2
06:11:15,0
06:16:14,1
06:21:13,1
06:26:12,3
06:31:10,3
06:36:09,0
06:41:08,0
06:46:07,8
06:51:06,5
06:56:04,7
07:01:03,1
07:06:02,0
07:11:01,5
07:16:00,0
07:20:58,4
07:25:57,0
07:30:56,6
07:35:55,9
07:40:54,8
07:45:53,5
07:50:51,2
07:55:50,12
08:00:49,8
08:05:48,11
08:10:47,6
08:15:45,9
08:20:44,6
08:25:43,29
08:30:42,22
08:35:41,17
08:40:39,22
08:45:38,7
08:50:37,0
08:55:36,10
09:00:35,20
09:05:33,24
09:10:32,19
09:15:31,23
09:20:30,27
09:25:29,28
09:30:27,39
09:35:26,36
09:40:25,25
09:45:24,21
09:50:23,27
09:55:21,32
10:00:20,35
10:05:19,41
10:10:18,39
10:15:17,34
10:20:15,31
10:25:14,38
10:30:13,45
10:35:12,43
10:40:11,52
10:45:09,40
10:50:08,29
10:55:07,42
11:00:06,33
11:05:05,45
11:10:04,46
11:15:02,40
11:20:01,35
11:25:00,31
11:29:59,29
11:34:58,28
11:39:57,24
11:44:55,34
11:49:54,38
11:54:53,30
11:59:52,34
12:04:51,44
12:09:49,29
12:14:48,25
12:19:47,29
12:24:46,31
12:29:45,29
12:34:44,26
12:39:42,30
12:44:41,30
12:49:40,26
12:54:39,37
12:59:38,26
13:04:36,37
13:09:35,40
13:14:34,24
13:19:33,23
13:24:32,33
13:29:30,20
13:34:29,26
13:39:28,39
13:44:27,39
13:49:26,29
13:54:25,35
13:59:23,43
14:04:22,29
14:09:21,36
14:14:20,52
14:19:19,32
14:24:17,32
14:29:16,31
14:34:15,28
14:39:14,24
14:44:13,46
14:49:11,43
14:54:10,28
14:59:09,31
15:04:08,32
15:09:07,22
15:14:05,31
15:19:04,24
15:24:03,28
15:29:02,27
15:34:01,22
15:38:59,17
15:43:58,22
15:48:57,18
15:53:56,16
15:58:55,23
16:03:53,16
16:08:52,16
16:13:51,18
16:18:50,13
16:23:49,13
16:28:48,16
16:33:46,17
16:38:45,16
16:43:44,13
16:48:43,11
16:53:42,4
16:58:40,13
17:03:39,6
17:08:38,6
17:13:37,5
17:18:36,5
17:23:34,6
17:28:33,4
17:33:32,1
17:38:31,1
17:43:30,2
17:48:28,20
17:53:27,6
17:58:26,5
18:03:25,4
18:08:24,3
18:13:23,2
18:18:21,1
18:23:20,1
18:28:19,1
18:33:18,0
18:38:17,3
18:43:15,2
18:48:14,0
18:53:13,1
18:58:12,2
19:03:11,3
19:08:09,2
19:13:08,2
19:18:07,2
19:23:06,1
19:28:05,1
19:33:03,1
19:38:02,2
19:43:01,1
19:48:00,1
19:52:59,1
19:57:57,1
20:02:56,1
20:07:55,1
20:12:54,1
20:17:53,0
20:22:51,1
20:27:50,1
20:32:49,2
20:37:48,3
20:42:47,0
20:47:46,1
20:52:44,1
20:57:43,1
21:02:42,1
21:07:41,1
21:12:40,2
21:17:38,2
21:22:37,1
21:27:36,3
21:32:35,0
21:37:34,1
21:42:33,1
21:47:31,1
21:52:30,2
21:57:29,3
22:02:28,3
22:07:26,5
22:12:25,2
22:17:24,1
22:22:23,1
22:27:22,0
22:32:21,1
22:37:19,0
22:42:18,1
22:47:17,0
22:52:16,0
22:57:15,1
23:02:13,1
23:07:12,0
23:12:11,1
23:17:10,0
23:22:09,3
23:27:07,1
23:32:06,1
23:37:05,1
23:42:04,1
23:47:03,1
23:52:01,1
23:57:00,0
